recoding_id;date;CH4;CO;NO;NO_2;O_3;PM10;PM25;SO_2;station
1357;12/01/18 08:00;;0.600000023841857;110;92;1;12;;9;2
1358;12/01/18 08:00;1.14999997615814;0.200000002980232;5;35;5;4;2;3;3
1359;12/01/18 08:00;1.41999995708465;;292;126;;25;;;4
1360;12/01/18 08:00;;0.699999988079071;227;129;1;27;18;;5
1361;12/01/18 09:00;2.50999999046325;0.699999988079071;181;115;2;14;8;5;1
1362;12/01/18 09:00;;0.800000011920929;138;81;1;15;;11;2
1363;12/01/18 09:00;1.16999995708465;0.300000011920928;37;52;1;6;4;4;3
1364;12/01/18 09:00;1.48000001907348;;265;119;;37;;;4
1365;12/01/18 09:00;;1.000000000000000;279;138;1;35;22;;5
1366;12/01/18 10:00;2.14000010490417;1.000000000000000;259;131;3;20;13;7;1
1367;12/01/18 10:00;;0.699999988079071;127;83;3;24;;11;2
1368;12/01/18 10:00;1.15999996662139;0.300000011920928;55;53;1;11;8;5;3
1369;12/01/18 10:00;1.40999996662139;;231;113;;35;;;4
1370;12/01/18 10:00;;0.699999988079071;160;106;3;33;21;;5
1371;12/01/18 11:00;1.75999999046325;1.000000000000000;181;112;7;32;19;7;1
1372;12/01/18 11:00;;0.500000000000000;78;70;8;21;;10;2
1373;12/01/18 11:00;1.17999994754791;0.300000011920928;38;47;10;13;9;4;3
1374;12/01/18 11:00;1.50000000000000;;194;112;;40;;;4
1375;12/01/18 11:00;;0.500000000000000;89;82;10;32;21;;5
1376;12/01/18 12:00;1.87000000476837;0.699999988079071;162;115;9;27;18;8;1
1377;12/01/18 12:00;;0.500000000000000;75;75;13;23;;13;2
1378;12/01/18 12:00;1.15999996662139;0.300000011920928;25;40;29;10;6;5;3
1379;12/01/18 12:00;1.48000001907348;;141;107;;43;;;4
1380;12/01/18 12:00;;0.600000023841857;147;107;10;34;22;;5
1381;12/01/18 13:00;2.50000000000000;0.600000023841857;148;107;10;32;20;6;1
1382;12/01/18 13:00;;0.500000000000000;113;93;11;36;;17;2
1383;12/01/18 13:00;1.57000005245208;0.500000000000000;74;79;12;22;14;7;3
1384;12/01/18 13:00;1.41999995708465;;100;99;;46;;;4
1385;12/01/18 13:00;;0.500000000000000;106;95;14;43;26;;5
1386;12/01/18 14:00;2.19000005722045;0.400000005960464;50;70;27;27;17;4;1
1387;12/01/18 14:00;;0.400000005960464;81;83;13;44;;19;2
1388;12/01/18 14:00;1.65999996662139;0.400000005960464;87;89;9;37;24;7;3
1389;12/01/18 14:00;1.27999997138977;;33;65;;38;;;4
1390;12/01/18 14:00;;0.400000005960464;95;91;16;35;20;;5
1391;12/01/18 15:00;1.71000003814697;0.400000005960464;64;82;18;18;13;5;1
1392;12/01/18 15:00;;0.400000005960464;43;67;19;42;;19;2
1393;12/01/18 15:00;1.37999999523162;0.400000005960464;59;76;11;42;27;6;3
1394;12/01/18 15:00;1.33000004291534;;18;48;;24;;;4
1395;12/01/18 15:00;;0.400000005960464;71;81;20;37;23;;5
1396;12/01/18 16:00;1.47000002861022;0.500000000000000;52;83;18;23;15;5;1
1397;12/01/18 16:00;;0.400000005960464;18;54;31;33;;18;2
1398;12/01/18 16:00;1.12999999523162;0.300000011920928;13;40;38;30;18;4;3
1399;12/01/18 16:00;1.49000000953674;;18;54;;25;;;4
1400;12/01/18 16:00;;0.400000005960464;63;80;22;29;18;;5
1401;12/01/18 17:00;1.45000004768371;0.400000005960464;51;87;14;18;12;4;1
1402;12/01/18 17:00;;0.300000011920928;8;44;38;26;;15;2
1403;12/01/18 17:00;1.12000000476837;0.200000002980232;2;19;53;11;7;4;3
1404;12/01/18 17:00;1.37999999523162;;34;81;;28;;;4
1405;12/01/18 17:00;;0.400000005960464;45;75;23;26;15;;5
1406;12/01/18 18:00;1.42999994754791;0.500000000000000;48;83;18;18;11;4;1
1407;12/01/18 18:00;;0.400000005960464;7;49;31;15;;12;2
1408;12/01/18 18:00;1.11000001430511;0.200000002980232;1;16;54;7;5;3;3
1409;12/01/18 18:00;1.27999997138977;;29;83;;29;;;4
1410;12/01/18 18:00;;0.400000005960464;43;69;23;20;12;;5
1411;12/01/18 19:00;1.42999994754791;0.500000000000000;48;90;11;14;8;4;1
1412;12/01/18 19:00;;0.400000005960464;11;75;14;11;;9;2
1413;12/01/18 19:00;1.11000001430511;0.200000002980232;1;31;34;7;5;3;3
1414;12/01/18 19:00;1.51999998092651;;69;94;;28;;;4
1415;12/01/18 19:00;;0.500000000000000;115;114;3;20;10;;5
1416;12/01/18 20:00;1.41999995708465;0.500000000000000;50;94;11;16;11;4;1
1417;12/01/18 20:00;;0.500000000000000;23;85;8;13;;10;2
1418;12/01/18 20:00;1.12000000476837;0.200000002980232;1;47;20;10;6;4;3
1419;12/01/18 20:00;1.41999995708465;;126;106;;39;;;4
1420;12/01/18 20:00;;0.800000011920929;174;141;1;24;12;;5
1421;12/01/18 21:00;1.44000005722045;0.600000023841857;82;109;4;14;9;5;1
1422;12/01/18 21:00;;0.699999988079071;74;107;1;15;;12;2
1423;12/01/18 21:00;1.12000000476837;0.300000011920928;2;48;23;12;8;5;3
1424;12/01/18 21:00;1.26999998092651;;190;124;;38;;;4
1425;12/01/18 21:00;;0.800000011920929;214;151;1;44;25;;5
1426;12/01/18 22:00;1.47000002861022;0.699999988079071;128;119;2;18;11;5;1
1427;12/01/18 22:00;;0.600000023841857;59;100;1;20;;11;2
1428;12/01/18 22:00;1.13999998569488;0.400000005960464;27;86;1;11;6;6;3
1429;12/01/18 22:00;1.36000001430511;;134;113;;44;;;4
1430;12/01/18 22:00;;1.200000047683710;298;180;1;50;26;;5
1431;12/01/18 23:00;1.59000003337860;0.699999988079071;133;117;2;21;13;5;1
1432;12/01/18 23:00;;0.600000023841857;58;95;2;23;;11;2
1433;12/01/18 23:00;1.14999997615814;0.500000000000000;54;91;1;19;10;7;3
1434;12/01/18 23:00;1.52999997138977;;133;110;;42;;;4
1435;12/01/18 23:00;;0.899999976158142;231;148;1;62;34;;5
1436;13/01/18 00:00;1.62999999523162;0.699999988079071;123;111;1;24;15;5;1
1437;13/01/18 00:00;;0.500000000000000;25;79;3;18;;8;2
1438;13/01/18 00:00;1.16999995708465;0.400000005960464;50;84;1;22;14;6;3
1439;13/01/18 00:00;1.62999999523162;;150;109;;39;;;4
1440;13/01/18 00:00;;1.000000000000000;233;144;1;56;32;;5
1441;13/01/18 01:00;1.60000002384185;0.699999988079071;96;102;2;25;16;4;1
1442;13/01/18 01:00;;0.699999988079071;86;87;1;20;;10;2
1443;13/01/18 01:00;1.15999996662139;0.400000005960464;39;71;1;20;13;5;3
1444;13/01/18 01:00;1.58000004291534;;183;105;;39;;;4
1445;13/01/18 01:00;;0.899999976158142;186;124;1;58;38;;5
1446;13/01/18 02:00;1.62000000476837;0.600000023841857;76;95;2;24;17;4;1
1447;13/01/18 02:00;;0.600000023841857;76;65;1;23;;10;2
1448;13/01/18 02:00;1.14999997615814;0.400000005960464;34;56;1;17;13;4;3
1449;13/01/18 02:00;1.57000005245208;;133;87;;37;;;4
1450;13/01/18 02:00;;0.699999988079071;116;92;1;45;31;;5
1451;13/01/18 03:00;1.67999994754791;0.600000023841857;82;92;2;24;18;4;1
1452;13/01/18 03:00;;0.400000005960464;40;52;1;12;;8;2
1453;13/01/18 03:00;1.17999994754791;0.400000005960464;36;43;1;14;10;4;3
1454;13/01/18 03:00;1.50999999046325;;79;68;;33;;;4
1455;13/01/18 03:00;;0.500000000000000;56;63;1;27;18;;5
1456;13/01/18 04:00;1.75000000000000;0.600000023841857;73;87;2;28;22;4;1
1457;13/01/18 04:00;;0.400000005960464;35;46;1;13;;7;2
1458;13/01/18 04:00;1.20000004768371;0.400000005960464;32;41;1;13;9;4;3
1459;13/01/18 04:00;1.58000004291534;;58;61;;26;;;4
1460;13/01/18 04:00;;0.400000005960464;67;65;1;21;14;;5
1461;13/01/18 05:00;1.70000004768371;0.500000000000000;38;78;2;28;23;4;1
1462;13/01/18 05:00;;0.400000005960464;46;44;1;13;;7;2
1463;13/01/18 05:00;1.20000004768371;0.400000005960464;33;37;1;15;12;4;3
1464;13/01/18 05:00;1.58000004291534;;42;57;;24;;;4
1465;13/01/18 05:00;;0.400000005960464;52;55;1;19;12;;5
1466;13/01/18 06:00;1.77999997138977;0.400000005960464;62;76;2;14;9;4;1
1467;13/01/18 06:00;;0.500000000000000;39;44;1;11;;6;2
1468;13/01/18 06:00;1.25000000000000;0.400000005960464;31;35;1;16;13;4;3
1469;13/01/18 06:00;1.60000002384185;;34;54;;22;;;4
1470;13/01/18 06:00;;0.400000005960464;55;53;1;18;13;;5
1471;13/01/18 07:00;1.77999997138977;0.600000023841857;67;76;2;17;13;5;1
1472;13/01/18 07:00;;0.500000000000000;40;47;1;13;;6;2
1473;13/01/18 07:00;1.27999997138977;0.400000005960464;33;29;1;16;13;4;3
1474;13/01/18 07:00;1.47000002861022;;27;49;;20;;;4
1475;13/01/18 07:00;;0.400000005960464;57;55;1;21;16;;5
1476;13/01/18 08:00;1.66999995708465;0.500000000000000;37;72;3;16;13;4;1
1477;13/01/18 08:00;;0.500000000000000;47;47;1;16;;7;2
1478;13/01/18 08:00;1.30999994277954;0.400000005960464;29;27;1;15;12;4;3
1479;13/01/18 08:00;1.54999995231628;;39;55;;20;;;4
1480;13/01/18 08:00;;0.500000000000000;75;62;1;22;16;;5
1481;13/01/18 09:00;1.61000001430511;0.400000005960464;32;65;4;19;16;4;1
1482;13/01/18 09:00;;0.600000023841857;67;50;1;17;;8;2
1483;13/01/18 09:00;1.35000002384185;0.400000005960464;26;30;1;18;14;4;3
1484;13/01/18 09:00;1.53999996185302;;80;68;;24;;;4
1485;13/01/18 09:00;;0.600000023841857;126;73;1;27;20;;5
1486;13/01/18 10:00;1.54999995231628;0.600000023841857;46;66;5;18;15;5;1
1487;13/01/18 10:00;;0.600000023841857;76;49;1;20;;9;2
1488;13/01/18 10:00;1.37000000476837;0.400000005960464;29;29;1;20;17;4;3
1489;13/01/18 10:00;1.50999999046325;;60;59;;24;;;4
1490;13/01/18 10:00;;0.800000011920929;159;86;2;35;24;;5
1491;13/01/18 11:00;1.51999998092651;0.699999988079071;53;66;12;21;17;6;1
1492;13/01/18 11:00;;0.699999988079071;88;55;3;23;;9;2
1493;13/01/18 11:00;1.37999999523162;0.400000005960464;39;24;1;19;15;4;3
1494;13/01/18 11:00;1.45000004768371;;51;52;;28;;;4
1495;13/01/18 11:00;;0.699999988079071;116;77;5;41;30;;5
1496;13/01/18 12:00;1.47000002861022;0.500000000000000;33;56;21;19;14;6;1
1497;13/01/18 12:00;;0.400000005960464;40;51;16;29;;9;2
1498;13/01/18 12:00;1.32000005245208;0.500000000000000;50;52;6;37;33;7;3
1499;13/01/18 12:00;1.46000003814697;;45;60;;30;;;4
1500;13/01/18 12:00;;0.300000011920928;46;55;19;36;25;;5
1501;13/01/18 13:00;1.74000000953674;0.400000005960464;30;55;20;18;14;5;1
1502;13/01/18 13:00;;0.400000005960464;18;46;17;19;;9;2
1503;13/01/18 13:00;1.24000000953674;0.300000011920928;14;44;13;29;22;5;3
1504;13/01/18 13:00;1.33000004291534;;29;55;;30;;;4
1505;13/01/18 13:00;;0.300000011920928;41;57;17;26;18;;5
1506;13/01/18 14:00;1.69000005722045;0.400000005960464;40;71;11;15;11;5;1
1507;13/01/18 14:00;;0.400000005960464;23;59;10;25;;9;2
1508;13/01/18 14:00;1.25000000000000;0.300000011920928;11;46;10;25;20;4;3
1509;13/01/18 14:00;1.37000000476837;;43;71;;35;;;4
1510;13/01/18 14:00;;0.400000005960464;63;76;7;31;22;;5
1511;13/01/18 15:00;1.62999999523162;0.500000000000000;40;80;9;15;11;4;1
1512;13/01/18 15:00;;0.400000005960464;13;58;15;27;;8;2
1513;13/01/18 15:00;1.25999999046325;0.300000011920928;7;47;13;19;15;4;3
1514;13/01/18 15:00;1.46000003814697;;25;68;;31;;;4
1515;13/01/18 15:00;;0.600000023841857;60;87;10;28;22;;5
1516;13/01/18 16:00;1.65999996662139;0.500000000000000;43;83;5;13;11;4;1
1517;13/01/18 16:00;;0.500000000000000;15;67;9;21;;7;2
1518;13/01/18 16:00;1.25000000000000;0.300000011920928;9;54;5;16;13;4;3
1519;13/01/18 16:00;1.51999998092651;;31;76;;23;;;4
1520;13/01/18 16:00;;0.400000005960464;66;91;6;20;17;;5
1521;13/01/18 17:00;1.66999995708465;0.500000000000000;54;89;4;16;14;4;1
1522;13/01/18 17:00;;0.400000005960464;12;64;15;21;;7;2
1523;13/01/18 17:00;1.23000001907348;0.400000005960464;16;60;1;18;15;4;3
1524;13/01/18 17:00;1.50999999046325;;20;76;;19;;;4
1525;13/01/18 17:00;;0.400000005960464;33;72;18;17;15;;5
1526;13/01/18 18:00;1.50999999046325;0.400000005960464;33;81;8;12;11;3;1
1527;13/01/18 18:00;;0.400000005960464;20;68;10;15;;6;2
1528;13/01/18 18:00;1.24000000953674;0.400000005960464;14;62;1;21;19;4;3
1529;13/01/18 18:00;1.47000002861022;;29;80;;15;;;4
1530;13/01/18 18:00;;0.400000005960464;45;79;11;12;10;;5
1531;13/01/18 19:00;1.49000000953674;0.400000005960464;40;90;5;12;10;4;1
1532;13/01/18 19:00;;0.500000000000000;19;79;3;17;;6;2
1533;13/01/18 19:00;1.24000000953674;0.400000005960464;17;66;1;21;20;4;3
1534;13/01/18 19:00;1.28999996185302;;22;83;;15;;;4
1535;13/01/18 19:00;;0.400000005960464;51;89;3;15;13;;5
1536;13/01/18 20:00;1.54999995231628;0.500000000000000;65;94;3;12;10;4;1
1537;13/01/18 20:00;;0.500000000000000;40;78;3;17;;7;2
1538;13/01/18 20:00;1.23000001907348;0.400000005960464;18;65;2;20;18;4;3
1539;13/01/18 20:00;1.34000003337860;;48;84;;16;;;4
1540;13/01/18 20:00;;0.500000000000000;45;87;3;19;16;;5
1541;13/01/18 21:00;1.50000000000000;0.500000000000000;51;80;6;15;13;4;1
1542;13/01/18 21:00;;0.400000005960464;8;54;13;16;;6;2
1543;13/01/18 21:00;1.17999994754791;0.300000011920928;1;33;19;16;15;3;3
1544;13/01/18 21:00;1.34000003337860;;55;83;;21;;;4
1545;13/01/18 21:00;;0.400000005960464;24;74;5;17;15;;5
1546;13/01/18 22:00;1.47000002861022;0.400000005960464;28;64;14;16;15;3;1
1547;13/01/18 22:00;;0.300000011920928;5;39;26;15;;5;2
1548;13/01/18 22:00;1.14999997615814;0.300000011920928;1;20;33;12;11;3;3
1549;13/01/18 22:00;1.25000000000000;;3;51;;17;;;4
1550;13/01/18 22:00;;0.300000011920928;17;56;19;13;12;;5
1551;13/01/18 23:00;1.45000004768371;0.400000005960464;18;52;24;11;9;3;1
1552;13/01/18 23:00;;0.300000011920928;3;28;35;12;;4;2
1553;13/01/18 23:00;1.13999998569488;0.200000002980232;1;9;46;10;9;3;3
1554;13/01/18 23:00;1.23000001907348;;1;41;;15;;;4
1555;13/01/18 23:00;;0.300000011920928;18;42;29;12;11;;5
1556;14/01/18 00:00;1.42999994754791;0.300000011920928;12;42;32;7;5;3;1
1557;14/01/18 00:00;;0.300000011920928;2;20;44;9;;4;2
1558;14/01/18 00:00;1.12999999523162;0.200000002980232;1;5;51;9;8;3;3
1559;14/01/18 00:00;1.23000001907348;;2;32;;15;;;4
1560;14/01/18 00:00;;0.300000011920928;16;35;36;13;12;;5
1561;14/01/18 01:00;1.41999995708465;0.300000011920928;18;45;32;7;5;3;1
1562;14/01/18 01:00;;0.300000011920928;3;19;43;7;;4;2
1563;14/01/18 01:00;1.11000001430511;0.200000002980232;1;5;53;7;6;3;3
1564;14/01/18 01:00;1.22000002861022;;1;37;;12;;;4
1565;14/01/18 01:00;;0.300000011920928;16;32;39;11;10;;5
1566;14/01/18 02:00;1.40999996662139;0.300000011920928;18;47;31;13;10;3;1
1567;14/01/18 02:00;;0.200000002980232;1;14;50;7;;4;2
1568;14/01/18 02:00;1.11000001430511;0.200000002980232;1;3;55;4;3;3;3
1569;14/01/18 02:00;1.21000003814697;;1;34;;9;;;4
1570;14/01/18 02:00;;0.200000002980232;13;27;43;8;7;;5
1571;14/01/18 03:00;1.40999996662139;0.300000011920928;10;40;35;11;9;3;1
1572;14/01/18 03:00;;0.200000002980232;1;13;48;5;;4;2
1573;14/01/18 03:00;1.11000001430511;0.200000002980232;1;2;55;3;2;3;3
1574;14/01/18 03:00;1.19000005722045;;1;16;;8;;;4
1575;14/01/18 03:00;;0.300000011920928;14;30;40;7;6;;5
1576;14/01/18 04:00;1.40999996662139;0.300000011920928;11;35;38;4;2;3;1
1577;14/01/18 04:00;;0.200000002980232;1;12;47;5;;4;2
1578;14/01/18 04:00;1.11000001430511;0.200000002980232;1;2;52;4;3;3;3
1579;14/01/18 04:00;1.19000005722045;;1;12;;3;;;4
1580;14/01/18 04:00;;0.200000002980232;10;23;45;8;7;;5
1581;14/01/18 05:00;1.40999996662139;0.300000011920928;9;38;34;4;2;3;1
1582;14/01/18 05:00;;0.200000002980232;1;8;50;4;;4;2
1583;14/01/18 05:00;1.11000001430511;0.200000002980232;1;1;47;3;2;3;3
1584;14/01/18 05:00;1.17999994754791;;1;16;;2;;;4
1585;14/01/18 05:00;;0.200000002980232;9;20;45;5;5;;5
1586;14/01/18 06:00;1.39999997615814;0.300000011920928;6;31;38;7;5;3;1
1587;14/01/18 06:00;;0.200000002980232;1;7;50;4;;4;2
1588;14/01/18 06:00;1.11000001430511;0.200000002980232;1;1;50;4;3;3;3
1589;14/01/18 06:00;1.21000003814697;;3;38;;4;;;4
1590;14/01/18 06:00;;0.200000002980232;8;13;52;5;4;;5
1591;14/01/18 07:00;1.39999997615814;0.300000011920928;7;33;37;4;3;3;1
1592;14/01/18 07:00;;0.200000002980232;1;10;49;3;;4;2
1593;14/01/18 07:00;1.11000001430511;0.200000002980232;1;1;49;3;3;3;3
1594;14/01/18 07:00;1.30999994277954;;8;55;;6;;;4
1595;14/01/18 07:00;;0.200000002980232;9;19;49;5;4;;5
1596;14/01/18 08:00;1.39999997615814;0.300000011920928;8;34;36;6;4;3;1
1597;14/01/18 08:00;;0.200000002980232;1;13;47;3;;4;2
1598;14/01/18 08:00;1.11000001430511;0.200000002980232;1;5;46;4;4;3;3
1599;14/01/18 08:00;1.23000001907348;;8;52;;11;;;4
1600;14/01/18 08:00;;0.200000002980232;9;20;47;5;4;;5
1601;14/01/18 09:00;1.40999996662139;0.300000011920928;7;35;34;4;3;3;1
1602;14/01/18 09:00;;0.300000011920928;6;18;41;3;;4;2
1603;14/01/18 09:00;1.11000001430511;0.200000002980232;1;3;42;4;3;3;3
1604;14/01/18 09:00;1.21000003814697;;13;60;;11;;;4
1605;14/01/18 09:00;;0.200000002980232;14;25;41;4;3;;5
1606;14/01/18 10:00;1.40999996662139;0.300000011920928;9;39;28;6;5;3;1
1607;14/01/18 10:00;;0.300000011920928;3;18;40;5;;4;2
1608;14/01/18 10:00;1.11000001430511;0.200000002980232;1;5;40;3;2;3;3
1609;14/01/18 10:00;1.23000001907348;;22;56;;10;;;4
1610;14/01/18 10:00;;0.200000002980232;13;21;44;6;4;;5
1611;14/01/18 11:00;1.41999995708465;0.300000011920928;15;40;33;6;4;4;1
1612;14/01/18 11:00;;0.300000011920928;8;22;38;8;;5;2
1613;14/01/18 11:00;1.11000001430511;0.200000002980232;1;5;46;4;3;3;3
1614;14/01/18 11:00;1.28999996185302;;12;37;;10;;;4
1615;14/01/18 11:00;;0.300000011920928;15;28;41;5;4;;5
1616;14/01/18 12:00;1.45000004768371;0.300000011920928;18;47;30;7;6;5;1
1617;14/01/18 12:00;;0.300000011920928;6;17;47;10;;6;2
1618;14/01/18 12:00;1.12999999523162;0.200000002980232;3;10;43;4;3;3;3
1619;14/01/18 12:00;1.26999998092651;;11;35;;10;;;4
1620;14/01/18 12:00;;0.300000011920928;25;33;41;7;6;;5
1621;14/01/18 13:00;1.48000001907348;0.500000000000000;28;58;25;17;15;6;1
1622;14/01/18 13:00;;0.200000002980232;7;18;50;4;;8;2
1623;14/01/18 13:00;1.12000000476837;0.200000002980232;2;5;57;1;1;3;3
1624;14/01/18 13:00;1.23000001907348;;8;29;;10;;;4
1625;14/01/18 13:00;;0.300000011920928;17;26;49;7;4;;5
1626;14/01/18 14:00;1.46000003814697;0.500000000000000;28;67;18;18;14;6;1
1627;14/01/18 14:00;;0.300000011920928;6;24;49;8;;10;2
1628;14/01/18 14:00;1.13999998569488;0.200000002980232;4;14;46;3;2;3;3
1629;14/01/18 14:00;1.23000001907348;;16;42;;13;;;4
1630;14/01/18 14:00;;0.300000011920928;17;32;50;8;6;;5
1631;14/01/18 15:00;1.45000004768371;0.500000000000000;30;66;24;14;10;8;1
1632;14/01/18 15:00;;0.500000000000000;19;52;21;21;;12;2
1633;14/01/18 15:00;1.13999998569488;0.300000011920928;14;34;32;10;8;5;3
1634;14/01/18 15:00;1.20000004768371;;8;23;;15;;;4
1635;14/01/18 15:00;;0.500000000000000;49;76;14;12;8;;5
1636;14/01/18 16:00;1.42999994754791;0.400000005960464;12;46;42;13;11;7;1
1637;14/01/18 16:00;;0.400000005960464;16;42;37;25;;12;2
1638;14/01/18 16:00;1.13999998569488;0.300000011920928;9;35;37;15;12;5;3
1639;14/01/18 16:00;1.19000005722045;;3;19;;11;;;4
1640;14/01/18 16:00;;0.400000005960464;41;62;31;24;17;;5
1641;14/01/18 17:00;1.40999996662139;0.300000011920928;9;42;48;7;5;6;1
1642;14/01/18 17:00;;0.400000005960464;8;38;43;21;;11;2
1643;14/01/18 17:00;1.12000000476837;0.200000002980232;3;23;45;10;8;4;3
1644;14/01/18 17:00;1.19000005722045;;3;21;;11;;;4
1645;14/01/18 17:00;;0.300000011920928;23;43;47;17;12;;5
1646;14/01/18 18:00;1.41999995708465;0.300000011920928;10;52;37;7;4;9;1
1647;14/01/18 18:00;;0.500000000000000;7;45;37;18;;10;2
1648;14/01/18 18:00;1.11000001430511;0.200000002980232;1;20;50;5;4;4;3
1649;14/01/18 18:00;1.19000005722045;;4;35;;10;;;4
1650;14/01/18 18:00;;0.400000005960464;41;75;26;16;11;;5
1651;14/01/18 19:00;1.42999994754791;0.400000005960464;16;71;20;6;4;8;1
1652;14/01/18 19:00;;0.699999988079071;19;73;12;25;;10;2
1653;14/01/18 19:00;1.12000000476837;0.200000002980232;1;29;34;5;3;4;3
1654;14/01/18 19:00;1.19000005722045;;7;55;;10;;;4
1655;14/01/18 19:00;;0.600000023841857;77;106;8;21;13;;5
1656;14/01/18 20:00;1.45000004768371;0.400000005960464;19;75;15;8;6;8;1
1657;14/01/18 20:00;;0.600000023841857;41;87;2;27;;10;2
1658;14/01/18 20:00;1.12999999523162;0.200000002980232;1;39;18;5;3;3;3
1659;14/01/18 20:00;1.22000002861022;;9;69;;9;;;4
1660;14/01/18 20:00;;0.699999988079071;100;115;4;27;17;;5
1661;14/01/18 21:00;1.44000005722045;0.400000005960464;21;76;15;11;7;9;1
1662;14/01/18 21:00;;0.600000023841857;45;85;1;17;;9;2
1663;14/01/18 21:00;1.15999996662139;0.300000011920928;1;46;10;7;4;3;3
1664;14/01/18 21:00;1.22000002861022;;25;76;;12;;;4
1665;14/01/18 21:00;;0.600000023841857;69;101;2;21;13;;5
1666;14/01/18 22:00;1.44000005722045;0.500000000000000;19;74;14;10;7;8;1
1667;14/01/18 22:00;;0.500000000000000;23;70;2;17;;8;2
1668;14/01/18 22:00;1.16999995708465;0.300000011920928;1;36;10;9;7;3;3
1669;14/01/18 22:00;1.23000001907348;;7;63;;10;;;4
1670;14/01/18 22:00;;0.500000000000000;35;77;2;16;12;;5
1671;14/01/18 23:00;1.45000004768371;0.400000005960464;9;60;21;11;9;8;1
1672;14/01/18 23:00;;0.500000000000000;15;62;3;15;;7;2
1673;14/01/18 23:00;1.19000005722045;0.300000011920928;1;33;11;9;8;3;3
1674;14/01/18 23:00;1.25000000000000;;3;54;;9;;;4
1675;14/01/18 23:00;;0.400000005960464;24;69;4;13;10;;5
1676;15/01/18 00:00;1.45000004768371;0.400000005960464;5;51;29;11;9;8;1
1677;15/01/18 00:00;;0.500000000000000;17;62;2;1;;6;2
1678;15/01/18 00:00;1.15999996662139;0.300000011920928;1;35;8;8;6;3;3
1679;15/01/18 00:00;1.22000002861022;;3;53;;9;;;4
1680;15/01/18 00:00;;0.500000000000000;48;74;2;14;11;;5
1681;15/01/18 01:00;1.42999994754791;0.300000011920928;3;35;41;4;3;7;1
1682;15/01/18 01:00;;0.500000000000000;15;57;3;12;;6;2
1683;15/01/18 01:00;1.16999995708465;0.300000011920928;1;28;7;7;6;3;3
1684;15/01/18 01:00;1.22000002861022;;6;56;;9;;;4
1685;15/01/18 01:00;;0.600000023841857;68;77;1;19;15;;5
1686;15/01/18 02:00;1.44000005722045;0.300000011920928;3;39;33;3;2;6;1
1687;15/01/18 02:00;;0.400000005960464;9;49;3;13;;6;2
1688;15/01/18 02:00;1.19000005722045;0.300000011920928;1;29;2;8;7;3;3
1689;15/01/18 02:00;1.21000003814697;;5;48;;8;;;4
1690;15/01/18 02:00;;0.400000005960464;34;58;2;18;14;;5
1691;15/01/18 03:00;1.44000005722045;0.300000011920928;5;38;35;5;4;6;1
1692;15/01/18 03:00;;0.500000000000000;16;37;2;12;;5;2
1693;15/01/18 03:00;1.20000004768371;0.300000011920928;3;27;1;10;9;3;3
1694;15/01/18 03:00;1.21000003814697;;4;39;;6;;;4
1695;15/01/18 03:00;;0.400000005960464;36;50;1;14;11;;5
1696;15/01/18 04:00;1.42999994754791;0.300000011920928;4;34;34;4;3;4;1
1697;15/01/18 04:00;;0.400000005960464;27;31;1;10;;5;2
1698;15/01/18 04:00;1.21000003814697;0.300000011920928;4;21;1;11;10;3;3
1699;15/01/18 04:00;1.25999999046325;;8;41;;6;;;4
1700;15/01/18 04:00;;0.400000005960464;29;37;1;16;13;;5
1701;15/01/18 05:00;1.52999997138977;0.400000005960464;18;57;4;7;5;4;1
1702;15/01/18 05:00;;0.400000005960464;18;29;1;11;;5;2
1703;15/01/18 05:00;1.21000003814697;0.300000011920928;3;21;1;12;12;3;3
1704;15/01/18 05:00;1.30999994277954;;39;45;;10;;;4
1705;15/01/18 05:00;;0.400000005960464;47;41;1;17;14;;5
1706;15/01/18 06:00;1.50000000000000;0.400000005960464;24;55;8;8;6;4;1
1707;15/01/18 06:00;;0.400000005960464;19;29;1;11;;5;2
1708;15/01/18 06:00;1.21000003814697;0.300000011920928;3;18;1;12;11;3;3
1709;15/01/18 06:00;1.32000005245208;;39;44;;13;;;4
1710;15/01/18 06:00;;0.400000005960464;51;40;1;17;14;;5
1711;15/01/18 07:00;1.59000003337860;0.500000000000000;75;59;2;9;8;5;1
1712;15/01/18 07:00;;0.600000023841857;35;30;1;13;;5;2
1713;15/01/18 07:00;1.20000004768371;0.300000011920928;4;22;1;12;11;3;3
1714;15/01/18 07:00;1.30999994277954;;64;50;;12;;;4
1715;15/01/18 07:00;;0.699999988079071;188;77;1;21;16;;5
1716;15/01/18 08:00;1.55999994277954;0.699999988079071;214;95;2;14;10;6;1
1717;15/01/18 08:00;;0.699999988079071;83;43;1;15;;7;2
1718;15/01/18 08:00;1.17999994754791;0.300000011920928;5;17;1;11;10;3;3
1719;15/01/18 08:00;1.25999999046325;;93;63;;14;;;4
1720;15/01/18 08:00;;0.699999988079071;141;68;1;28;21;;5
1721;15/01/18 09:00;1.59000003337860;1.299999952316280;339;127;2;20;14;8;1
1722;15/01/18 09:00;;0.800000011920929;106;50;1;24;;10;2
1723;15/01/18 09:00;1.17999994754791;0.300000011920928;37;25;1;13;12;4;3
1724;15/01/18 09:00;1.25000000000000;;296;127;;20;;;4
1725;15/01/18 09:00;;0.600000023841857;132;66;1;28;21;;5
